Date,Currency,Rate
2024-09-30,EUR,1474.06
2024-09-30,JPY(100),924.51
2024-09-30,USD,1319.6
2024-10-02,AED,355.81
2024-10-02,CNH,186.86
2024-10-02,EUR,1446.15
2024-10-02,JPY(100),910.26
2024-10-02,USD,1306.9
2024-10-04,AED,359.41
2024-10-04,CNH,188.16
2024-10-04,EUR,1456.53
2024-10-04,JPY(100),899.47
2024-10-04,USD,1320.1
2024-10-07,AED,363
2024-10-07,CNH,188.93
2024-10-07,EUR,1462.7
2024-10-07,JPY(100),894.65
2024-10-07,USD,1333.3
2024-10-08,AED,366.59
2024-10-08,CNH,190.05
2024-10-08,EUR,1478.12
2024-10-08,JPY(100),910.26
2024-10-08,USD,1346.5
2024-10-10,AED,366.95
2024-10-10,CNH,190.91
2024-10-10,EUR,1474.56
2024-10-10,JPY(100),903.08
2024-10-10,USD,1347.8
2024-10-11,AED,367.38
2024-10-11,CNH,190.78
2024-10-11,EUR,1475.5
2024-10-11,JPY(100),907.74
2024-10-11,USD,1349.4
2024-10-14,AED,367.17
2024-10-14,CNH,190.3
2024-10-14,EUR,1473.75
2024-10-14,JPY(100),903.31
2024-10-14,USD,1348.6
2024-10-15,AED,368.87
2024-10-15,CNH,191.51
2024-10-15,EUR,1477.99
2024-10-15,JPY(100),904.62
2024-10-15,USD,1354.9
2024-10-16,AED,370.37
2024-10-16,CNH,191.34
2024-10-16,EUR,1481.14
2024-10-16,JPY(100),911.22
2024-10-16,USD,1360.4
2024-10-17,AED,371.28
2024-10-17,CNH,191.22
2024-10-17,EUR,1480.64
2024-10-17,JPY(100),911.29
2024-10-17,USD,1363.7
2024-10-18,AED,372.03
2024-10-18,CNH,191.64
2024-10-18,EUR,1479.71
2024-10-18,JPY(100),909.64
2024-10-18,USD,1366.5
2024-10-21,AED,373.29
2024-10-21,CNH,192.32
2024-10-21,EUR,1490.18
2024-10-21,JPY(100),916.91
2024-10-21,USD,1371.1
2024-10-22,AED,373.09
2024-10-22,CNH,192.51
2024-10-22,EUR,1482.16
2024-10-22,JPY(100),909.08
2024-10-22,USD,1370.4
2024-10-23,AED,375.74
2024-10-23,CNH,193.46
2024-10-23,EUR,1490.3
2024-10-23,JPY(100),913.55
2024-10-23,USD,1380.1
2024-10-24,AED,376.25
2024-10-24,CNH,193.54
2024-10-24,EUR,1490
2024-10-24,JPY(100),904.86
2024-10-24,USD,1382
2024-10-25,AED,375.86
2024-10-25,CNH,193.66
2024-10-25,EUR,1494.18
2024-10-25,JPY(100),910.26
2024-10-25,USD,1380.5
2024-10-28,AED,376.9
2024-10-28,CNH,194.43
2024-10-28,EUR,1494.94
2024-10-28,JPY(100),905.75
2024-10-28,USD,1384.4
2024-10-29,AED,377.62
2024-10-29,CNH,194.17
2024-10-29,EUR,1499.76
2024-10-29,JPY(100),904.67
2024-10-29,USD,1387
2024-10-30,AED,376.55
2024-10-30,CNH,193.29
2024-10-30,EUR,1496.58
2024-10-30,JPY(100),902.6
2024-10-30,USD,1383.1
2024-10-31,AED,376.61
2024-10-31,CNH,193.56
2024-10-31,EUR,1502.19
2024-10-31,JPY(100),902.2
2024-10-31,USD,1383.3
2024-11-01,AED,375.52
2024-11-01,CNH,193.44
2024-11-01,EUR,1501.44
2024-11-01,JPY(100),908.24
2024-11-01,USD,1379.3
2024-11-04,AED,375.14
2024-11-04,CNH,193.36
2024-11-04,EUR,1498.95
2024-11-04,JPY(100),904.19
2024-11-04,USD,1377.9
2024-11-05,AED,373.35
2024-11-05,CNH,193.06
2024-11-05,EUR,1491.77
2024-11-05,JPY(100),901.31
2024-11-05,USD,1371.3
2024-11-06,AED,375.11
2024-11-06,CNH,193.95
2024-11-06,EUR,1505.11
2024-11-06,JPY(100),907.76
2024-11-06,USD,1377.8
2024-11-07,AED,378.85
2024-11-07,CNH,194.35
2024-11-07,EUR,1493.43
2024-11-07,JPY(100),901.29
2024-11-07,USD,1391.5
2024-11-08,AED,380.91
2024-11-08,CNH,194.32
2024-11-08,EUR,1510.89
2024-11-08,JPY(100),914.21
2024-11-08,USD,1399.1
2024-11-11,AED,377.18
2024-11-11,CNH,193.45
2024-11-11,EUR,1483.97
2024-11-11,JPY(100),906.17
2024-11-11,USD,1385.4
2024-11-12,AED,379.88
2024-11-12,CNH,193.98
2024-11-12,EUR,1486.9
2024-11-12,JPY(100),907.6
2024-11-12,USD,1395.3
2024-11-13,AED,381.46
2024-11-13,CNH,193.37
2024-11-13,EUR,1487.9
2024-11-13,JPY(100),906.6
2024-11-13,USD,1401.1
2024-11-14,AED,383.14
2024-11-14,CNH,194.42
2024-11-14,EUR,1486.53
2024-11-14,JPY(100),905.6
2024-11-14,USD,1407.3
2024-11-15,AED,382.9
2024-11-15,CNH,193.91
2024-11-15,EUR,1481.08
2024-11-15,JPY(100),899.61
2024-11-15,USD,1406.4
2024-11-18,AED,381.92
2024-11-18,CNH,193.47
2024-11-18,EUR,1477.99
2024-11-18,JPY(100),906.93
2024-11-18,USD,1402.8
2024-11-19,AED,379.15
2024-11-19,CNH,192.35
2024-11-19,EUR,1475.39
2024-11-19,JPY(100),901.39
2024-11-19,USD,1392.6
2024-11-20,AED,378.98
2024-11-20,CNH,192.41
2024-11-20,EUR,1475.1
2024-11-20,JPY(100),900.56
2024-11-20,USD,1392
2024-11-21,AED,378.87
2024-11-21,CNH,192.28
2024-11-21,EUR,1467.37
2024-11-21,JPY(100),895.87
2024-11-21,USD,1391.6
2024-11-22,AED,380.64
2024-11-22,CNH,192.85
2024-11-22,EUR,1464.51
2024-11-22,JPY(100),906
2024-11-22,USD,1398.1
2024-11-25,AED,381.3
2024-11-25,CNH,192.98
2024-11-25,EUR,1467.23
2024-11-25,JPY(100),907.62
2024-11-25,USD,1400.5
2024-11-26,AED,380.68
2024-11-26,CNH,192.77
2024-11-26,EUR,1467.83
2024-11-26,JPY(100),908.13
2024-11-26,USD,1398.2
2024-11-27,AED,381.49
2024-11-27,CNH,193.16
2024-11-27,EUR,1469.93
2024-11-27,JPY(100),915.01
2024-11-27,USD,1401.2
2024-11-28,AED,380.29
2024-11-28,CNH,192.36
2024-11-28,EUR,1476.21
2024-11-28,JPY(100),925.31
2024-11-28,USD,1396.8
2024-11-29,AED,379.72
2024-11-29,CNH,192.42
2024-11-29,EUR,1472.04
2024-11-29,JPY(100),920.87
2024-11-29,USD,1394.7
2024-12-02,AED,379.83
2024-12-02,CNH,192.81
2024-12-02,EUR,1471.9
2024-12-02,JPY(100),931.46
2024-12-02,USD,1395.1
2024-12-03,AED,381.7
2024-12-03,CNH,192.84
2024-12-03,EUR,1471.96
2024-12-03,JPY(100),937.51
2024-12-03,USD,1402
2024-12-04,AED,382.08
2024-12-04,CNH,192.17
2024-12-04,EUR,1474.48
2024-12-04,JPY(100),937.69
2024-12-04,USD,1403.4
2024-12-05,AED,384.69
2024-12-05,CNH,193.82
2024-12-05,EUR,1485.13
2024-12-05,JPY(100),938.15
2024-12-05,USD,1413
2024-12-06,AED,385.22
2024-12-06,CNH,194.41
2024-12-06,EUR,1497.6
2024-12-06,JPY(100),942.48
2024-12-06,USD,1414.9
2024-12-09,AED,386.44
2024-12-09,CNH,195.28
2024-12-09,EUR,1499.95
2024-12-09,JPY(100),947.06
2024-12-09,USD,1419.4
2024-12-10,AED,390.2
2024-12-10,CNH,196.88
2024-12-10,EUR,1512.67
2024-12-10,JPY(100),947.35
2024-12-10,USD,1433.2
2024-12-11,AED,388.81
2024-12-11,CNH,196.8
2024-12-11,EUR,1503.79
2024-12-11,JPY(100),940.07
2024-12-11,USD,1428.1
2024-12-12,AED,389.71
2024-12-12,CNH,197.43
2024-12-12,EUR,1502.68
2024-12-12,JPY(100),939.12
2024-12-12,USD,1431.4
2024-12-13,AED,389.74
2024-12-13,CNH,197.17
2024-12-13,EUR,1498.71
2024-12-13,JPY(100),938.04
2024-12-13,USD,1431.5
2024-12-16,AED,390.06
2024-12-16,CNH,196.79
2024-12-16,EUR,1505.12
2024-12-16,JPY(100),933.2
2024-12-16,USD,1432.7
2024-12-17,AED,390.66
2024-12-17,CNH,197.18
2024-12-17,EUR,1508.15
2024-12-17,JPY(100),930.51
2024-12-17,USD,1434.9
2024-12-18,AED,391.12
2024-12-18,CNH,196.98
2024-12-18,EUR,1507.35
2024-12-18,JPY(100),935.74
2024-12-18,USD,1436.6
2024-12-19,AED,391.18
2024-12-19,CNH,197.18
2024-12-19,EUR,1488.31
2024-12-19,JPY(100),928.92
2024-12-19,USD,1436.8
2024-12-20,AED,394.69
2024-12-20,CNH,198.2
2024-12-20,EUR,1502.25
2024-12-20,JPY(100),920.21
2024-12-20,USD,1449.7
2024-12-23,AED,394.85
2024-12-23,CNH,198.45
2024-12-23,EUR,1514.19
2024-12-23,JPY(100),926.86
2024-12-23,USD,1450.3
2024-12-24,AED,394.58
2024-12-24,CNH,198.51
2024-12-24,EUR,1508.07
2024-12-24,JPY(100),922.45
2024-12-24,USD,1449.3
2024-12-26,AED,395.75
2024-12-26,CNH,198.81
2024-12-26,EUR,1511.53
2024-12-26,JPY(100),924.56
2024-12-26,USD,1453.6
2024-12-27,AED,398.27
2024-12-27,CNH,200.19
2024-12-27,EUR,1524.85
2024-12-27,JPY(100),927
2024-12-27,USD,1462.9
2024-12-30,AED,401.33
2024-12-30,CNH,202.38
2024-12-30,EUR,1537.85
2024-12-30,JPY(100),934.31
2024-12-30,USD,1474.1
2024-12-31,AED,400.22
2024-12-31,CNH,201.27
2024-12-31,EUR,1528.73
2024-12-31,JPY(100),936.48
2024-12-31,USD,1470
2025-01-02,AED,400.22
2025-01-02,CNH,201.27
2025-01-02,EUR,1521.96
2025-01-02,JPY(100),934.67
2025-01-02,USD,1470
2025-01-03,AED,399.75
2025-01-03,CNH,200.57
2025-01-03,EUR,1507.43
2025-01-03,JPY(100),932.19
2025-01-03,USD,1468.3
2025-01-06,AED,399.35
2025-01-06,CNH,200.09
2025-01-06,EUR,1511.39
2025-01-06,JPY(100),931.6
2025-01-06,USD,1466.8
2025-01-07,AED,400.44
2025-01-07,CNH,199.85
2025-01-07,EUR,1527.79
2025-01-07,JPY(100),932.48
2025-01-07,USD,1470.8
2025-01-08,AED,396.24
2025-01-08,CNH,198.25
2025-01-08,EUR,1505.1
2025-01-08,JPY(100),920
2025-01-08,USD,1455.4
2025-01-09,AED,395.64
2025-01-09,CNH,197.89
2025-01-09,EUR,1499.41
2025-01-09,JPY(100),917.51
2025-01-09,USD,1453.2
2025-01-10,AED,397.01
2025-01-10,CNH,198.33
2025-01-10,EUR,1502.02
2025-01-10,JPY(100),922.42
2025-01-10,USD,1458.2
2025-01-13,AED,397.69
2025-01-13,CNH,198.7
2025-01-13,EUR,1495.83
2025-01-13,JPY(100),925.69
2025-01-13,USD,1460.7
2025-01-14,AED,400.57
2025-01-14,CNH,200.01
2025-01-14,EUR,1508.89
2025-01-14,JPY(100),934.81
2025-01-14,USD,1471.3
2025-01-15,AED,398.4
2025-01-15,CNH,199.14
2025-01-15,EUR,1508.08
2025-01-15,JPY(100),926.43
2025-01-15,USD,1463.3
2025-01-16,AED,397.55
2025-01-16,CNH,198.74
2025-01-16,EUR,1502.84
2025-01-16,JPY(100),933.69
2025-01-16,USD,1460.2
2025-01-17,AED,396.05
2025-01-17,CNH,198.26
2025-01-17,EUR,1498.7
2025-01-17,JPY(100),937.25
2025-01-17,USD,1454.7
2025-01-20,AED,396.35
2025-01-20,CNH,198.29
2025-01-20,EUR,1495.62
2025-01-20,JPY(100),931.26
2025-01-20,USD,1455.8
2025-01-21,AED,395.59
2025-01-21,CNH,198.01
2025-01-21,EUR,1514.46
2025-01-21,JPY(100),934.59
2025-01-21,USD,1453
2025-01-22,AED,391.48
2025-01-22,CNH,197.56
2025-01-22,EUR,1496.21
2025-01-22,JPY(100),923.18
2025-01-22,USD,1437.9
2025-01-23,AED,390.51
2025-01-23,CNH,197.14
2025-01-23,EUR,1492.75
2025-01-23,JPY(100),916.84
2025-01-23,USD,1434.3
2025-01-24,AED,391.3
2025-01-24,CNH,197.39
2025-01-24,EUR,1496.74
2025-01-24,JPY(100),921.01
2025-01-24,USD,1437.1
2025-01-31,AED,390.24
2025-01-31,CNH,197.26
2025-01-31,EUR,1488.84
2025-01-31,JPY(100),927.88
2025-01-31,USD,1433.3
2025-02-03,AED,395.59
2025-02-03,CNH,199.38
2025-02-03,EUR,1491.5
2025-02-03,JPY(100),935.91
2025-02-03,USD,1453
2025-02-04,AED,400
2025-02-04,CNH,199.91
2025-02-04,EUR,1520.25
2025-02-04,JPY(100),947.96
2025-02-04,USD,1469.2
2025-02-05,AED,397.71
2025-02-05,CNH,199.73
2025-02-05,EUR,1515.8
2025-02-05,JPY(100),946.08
2025-02-05,USD,1460.8
2025-02-06,AED,394.77
2025-02-06,CNH,198.79
2025-02-06,EUR,1508
2025-02-06,JPY(100),950.48
2025-02-06,USD,1450
2025-02-07,AED,393.98
2025-02-07,CNH,198.79
2025-02-07,EUR,1502.81
2025-02-07,JPY(100),956.48
2025-02-07,USD,1447.1
2025-02-10,AED,394.07
2025-02-10,CNH,198.55
2025-02-10,EUR,1491.55
2025-02-10,JPY(100),954.4
2025-02-10,USD,1447.4
2025-02-11,AED,395.7
2025-02-11,CNH,198.78
2025-02-11,EUR,1497.73
2025-02-11,JPY(100),956.47
2025-02-11,USD,1453.4
2025-02-12,AED,395.72
2025-02-12,CNH,198.86
2025-02-12,EUR,1506.26
2025-02-12,JPY(100),952.8
2025-02-12,USD,1453.5
2025-02-13,AED,395.48
2025-02-13,CNH,198.56
2025-02-13,EUR,1508.74
2025-02-13,JPY(100),941.44
2025-02-13,USD,1452.6
2025-02-14,AED,394.91
2025-02-14,CNH,198.76
2025-02-14,EUR,1517.8
2025-02-14,JPY(100),948.47
2025-02-14,USD,1450.5
2025-02-17,AED,392.94
2025-02-17,CNH,198.15
2025-02-17,EUR,1514.02
2025-02-17,JPY(100),947.79
2025-02-17,USD,1443.3
2025-02-18,AED,392.35
2025-02-18,CNH,198.72
2025-02-18,EUR,1510.63
2025-02-18,JPY(100),950.97
2025-02-18,USD,1441.1
2025-02-19,AED,393.11
2025-02-19,CNH,198.44
2025-02-19,EUR,1508.3
2025-02-19,JPY(100),949.68
2025-02-19,USD,1443.9
2025-02-20,AED,392.21
2025-02-20,CNH,197.86
2025-02-20,EUR,1501.61
2025-02-20,JPY(100),952.12
2025-02-20,USD,1440.6
2025-02-21,AED,391.88
2025-02-21,CNH,197.81
2025-02-21,EUR,1511.95
2025-02-21,JPY(100),962.91
2025-02-21,USD,1439.4
2025-02-24,AED,390.44
2025-02-24,CNH,197.9
2025-02-24,EUR,1502.79
2025-02-24,JPY(100),961.26
2025-02-24,USD,1434.1
2025-02-25,AED,389.12
2025-02-25,CNH,197.52
2025-02-25,EUR,1495.51
2025-02-25,JPY(100),953.59
2025-02-25,USD,1429.2
2025-02-26,AED,389.53
2025-02-26,CNH,197.21
2025-02-26,EUR,1504.74
2025-02-26,JPY(100),959.69
2025-02-26,USD,1430.7
2025-02-27,AED,389.85
2025-02-27,CNH,197.34
2025-02-27,EUR,1501.74
2025-02-27,JPY(100),961.49
2025-02-27,USD,1431.8
2025-02-28,AED,391.97
2025-02-28,CNH,197.58
2025-02-28,EUR,1496.97
2025-02-28,JPY(100),961.82
2025-02-28,USD,1439.6
2025-03-04,AED,397.18
2025-03-04,CNH,199.72
2025-03-04,EUR,1529.37
2025-03-04,JPY(100),976.37
2025-03-04,USD,1458.7
2025-03-05,AED,397.41
2025-03-05,CNH,200.34
2025-03-05,EUR,1552.14
2025-03-05,JPY(100),973.42
2025-03-05,USD,1459.6
2025-03-06,AED,396.44
2025-03-06,CNH,200.34
2025-03-06,EUR,1571.24
2025-03-06,JPY(100),978.26
2025-03-06,USD,1456
2025-03-07,AED,392.51
2025-03-07,CNH,198.84
2025-03-07,EUR,1555.92
2025-03-07,JPY(100),974.28
2025-03-07,USD,1441.6
2025-03-10,AED,393.81
2025-03-10,CNH,199.55
2025-03-10,EUR,1569.52
2025-03-10,JPY(100),980.54
2025-03-10,USD,1446.3
2025-03-11,AED,395.2
2025-03-11,CNH,200.13
2025-03-11,EUR,1573.57
2025-03-11,JPY(100),988.29
2025-03-11,USD,1451.5
2025-03-12,AED,396.95
2025-03-12,CNH,201.01
2025-03-12,EUR,1591.44
2025-03-12,JPY(100),986
2025-03-12,USD,1457.9
2025-03-13,AED,395.34
2025-03-13,CNH,200.72
2025-03-13,EUR,1581.01
2025-03-13,JPY(100),979.86
2025-03-13,USD,1452
2025-03-14,AED,395.31
2025-03-14,CNH,200.34
2025-03-14,EUR,1575.6
2025-03-14,JPY(100),981.64
2025-03-14,USD,1451.9
2025-03-17,AED,396.11
2025-03-17,CNH,200.78
2025-03-17,EUR,1583.26
2025-03-17,JPY(100),979.33
2025-03-17,USD,1454.8
2025-03-18,AED,394.25
2025-03-18,CNH,200.11
2025-03-18,EUR,1581.14
2025-03-18,JPY(100),969.37
2025-03-18,USD,1448
2025-03-19,AED,394
2025-03-19,CNH,199.98
2025-03-19,EUR,1583.42
2025-03-19,JPY(100),968.74
2025-03-19,USD,1447.1
2025-03-20,AED,395.39
2025-03-20,CNH,200.67
2025-03-20,EUR,1584.1
2025-03-20,JPY(100),976.7
2025-03-20,USD,1452.3
2025-03-21,AED,397.27
2025-03-21,CNH,201.7
2025-03-21,EUR,1584.33
2025-03-21,JPY(100),981.14
2025-03-21,USD,1459.2
2025-03-24,AED,399.37
2025-03-24,CNH,202.41
2025-03-24,EUR,1587.33
2025-03-24,JPY(100),980.65
2025-03-24,USD,1466.9
2025-03-25,AED,399.37
2025-03-25,CNH,202.04
2025-03-25,EUR,1584.62
2025-03-25,JPY(100),973.36
2025-03-25,USD,1466.9
2025-03-26,AED,400.1
2025-03-26,CNH,202.24
2025-03-26,EUR,1585.33
2025-03-26,JPY(100),980.09
2025-03-26,USD,1469.6
2025-03-27,AED,398.93
2025-03-27,CNH,201.49
2025-03-27,EUR,1573.15
2025-03-27,JPY(100),974.37
2025-03-27,USD,1465.3
2025-03-28,AED,399.34
2025-03-28,CNH,201.63
2025-03-28,EUR,1583.78
2025-03-28,JPY(100),971.26
2025-03-28,USD,1466.8
2025-03-31,AED,399.26
2025-03-31,CNH,201.68
2025-03-31,EUR,1587.85
2025-03-31,JPY(100),981.76
2025-03-31,USD,1466.5
2025-04-01,AED,400.38
2025-04-01,CNH,202.68
2025-04-01,EUR,1590.9
2025-04-01,JPY(100),980.11
2025-04-01,USD,1470.6
2025-04-02,AED,400.69
2025-04-02,CNH,202.08
2025-04-02,EUR,1589.14
2025-04-02,JPY(100),982.48
2025-04-02,USD,1471.7
2025-04-03,AED,399.61
2025-04-03,CNH,201.43
2025-04-03,EUR,1592.05
2025-04-03,JPY(100),989.95
2025-04-03,USD,1467.8
2025-04-04,AED,399.4
2025-04-04,CNH,200.7
2025-04-04,EUR,1620.89
2025-04-04,JPY(100),1006
2025-04-04,USD,1467
2025-04-07,AED,391.85
2025-04-07,CNH,198.42
2025-04-07,EUR,1582.15
2025-04-07,JPY(100),992.45
2025-04-07,USD,1439.3
2025-04-08,AED,399.1
2025-04-08,CNH,200
2025-04-08,EUR,1600.1
2025-04-08,JPY(100),990.91
2025-04-08,USD,1465.9
2025-04-09,AED,400.27
2025-04-09,CNH,200.18
2025-04-09,EUR,1613.1
2025-04-09,JPY(100),1008.61
2025-04-09,USD,1470.2
2025-04-10,AED,403.72
2025-04-10,CNH,200.82
2025-04-10,EUR,1624.22
2025-04-10,JPY(100),1004.81
2025-04-10,USD,1482.9
2025-04-11,AED,397.08
2025-04-11,CNH,198.19
2025-04-11,EUR,1635.56
2025-04-11,JPY(100),1012.07
2025-04-11,USD,1458.5
2025-04-14,AED,394.99
2025-04-14,CNH,198.29
2025-04-14,EUR,1644.41
2025-04-14,JPY(100),1009.74
2025-04-14,USD,1450.8
2025-04-15,AED,388.61
2025-04-15,CNH,195.44
2025-04-15,EUR,1619.31
2025-04-15,JPY(100),996.41
2025-04-15,USD,1427.4
2025-04-16,AED,387.5
2025-04-16,CNH,194.4
2025-04-16,EUR,1606.48
2025-04-16,JPY(100),993.89
2025-04-16,USD,1423.3
2025-04-17,AED,388.61
2025-04-17,CNH,194.77
2025-04-17,EUR,1626.88
2025-04-17,JPY(100),1006.42
2025-04-17,USD,1427.4
2025-04-18,AED,386.57
2025-04-18,CNH,194.33
2025-04-18,EUR,1614.78
2025-04-18,JPY(100),997.26
2025-04-18,USD,1419.9
2025-04-21,AED,387.05
2025-04-21,CNH,194.77
2025-04-21,EUR,1626.12
2025-04-21,JPY(100),1003.53
2025-04-21,USD,1421.5
2025-04-22,AED,386.3
2025-04-22,CNH,194.46
2025-04-22,EUR,1634.43
2025-04-22,JPY(100),1007.99
2025-04-22,USD,1418.9
2025-04-23,AED,387.31
2025-04-23,CNH,194.92
2025-04-23,EUR,1615.15
2025-04-23,JPY(100),996.99
2025-04-23,USD,1422.6
2025-04-24,AED,388.39
2025-04-24,CNH,195.64
2025-04-24,EUR,1616.98
2025-04-24,JPY(100),997.03
2025-04-24,USD,1426.6
2025-04-25,AED,389.38
2025-04-25,CNH,195.93
2025-04-25,EUR,1628.28
2025-04-25,JPY(100),1001.68
2025-04-25,USD,1430.2
2025-04-28,AED,390.57
2025-04-28,CNH,196.76
2025-04-28,EUR,1628.41
2025-04-28,JPY(100),997.88
2025-04-28,USD,1434.6
2025-04-29,AED,391.85
2025-04-29,CNH,197.4
2025-04-29,EUR,1642.1
2025-04-29,JPY(100),1011.85
2025-04-29,USD,1439.3
2025-04-30,AED,391.63
2025-04-30,CNH,197.7
2025-04-30,EUR,1638.24
2025-04-30,JPY(100),1011.07
2025-04-30,USD,1438.5
2025-05-02,AED,388.48
2025-05-02,CNH,196.6
2025-05-02,EUR,1611.54
2025-05-02,JPY(100),980.89
2025-05-02,USD,1426.9
2025-05-07,AED,388.4
2025-05-07,CNH,196.92
2025-05-07,EUR,1617.27
2025-05-07,JPY(100),995.92
2025-05-07,USD,1426.6
2025-05-08,AED,379.54
2025-05-08,CNH,193.23
2025-05-08,EUR,1575.82
2025-05-08,JPY(100),969.17
2025-05-08,USD,1394.1
2025-05-09,AED,380.08
2025-05-09,CNH,192.84
2025-05-09,EUR,1567.22
2025-05-09,JPY(100),956.69
2025-05-09,USD,1396
2025-05-12,AED,382.68
2025-05-12,CNH,193.81
2025-05-12,EUR,1578.35
2025-05-12,JPY(100),964.23
2025-05-12,USD,1405.6
2025-05-13,AED,381.26
2025-05-13,CNH,193.99
2025-05-13,EUR,1553.25
2025-05-13,JPY(100),943.38
2025-05-13,USD,1400.4
2025-05-14,AED,384.88
2025-05-14,CNH,196.71
2025-05-14,EUR,1581.72
2025-05-14,JPY(100),958.67
2025-05-14,USD,1413.7
2025-05-15,AED,385.46
2025-05-15,CNH,196.32
2025-05-15,EUR,1583.64
2025-05-15,JPY(100),966.12
2025-05-15,USD,1415.8
2025-05-16,AED,381.05
2025-05-16,CNH,194.03
2025-05-16,EUR,1566.43
2025-05-16,JPY(100),961.96
2025-05-16,USD,1399.6
2025-05-19,AED,379.64
2025-05-19,CNH,193.86
2025-05-19,EUR,1560.36
2025-05-19,JPY(100),960.43
2025-05-19,USD,1394.3
2025-05-20,AED,380.63
2025-05-20,CNH,193.86
2025-05-20,EUR,1570.51
2025-05-20,JPY(100),964.5
2025-05-20,USD,1398
2025-05-21,AED,379.14
2025-05-21,CNH,193.13
2025-05-21,EUR,1571.2
2025-05-21,JPY(100),964.5
2025-05-21,USD,1392.6
2025-05-22,AED,377.64
2025-05-22,CNH,192.4
2025-05-22,EUR,1569.85
2025-05-22,JPY(100),962.96
2025-05-22,USD,1387.1
2025-05-23,AED,375.27
2025-05-23,CNH,191.6
2025-05-23,EUR,1555.94
2025-05-23,JPY(100),958.59
2025-05-23,USD,1378.4
2025-05-26,AED,374.87
2025-05-26,CNH,191.05
2025-05-26,EUR,1566.36
2025-05-26,JPY(100),964.05
2025-05-26,USD,1376.9
2025-05-27,AED,371.62
2025-05-27,CNH,190.19
2025-05-27,EUR,1554.74
2025-05-27,JPY(100),956.62
2025-05-27,USD,1365
2025-05-28,AED,372.53
2025-05-28,CNH,190.43
2025-05-28,EUR,1551.04
2025-05-28,JPY(100),948.79
2025-05-28,USD,1368.3
2025-05-29,AED,374.29
2025-05-29,CNH,191.27
2025-05-29,EUR,1551.17
2025-05-29,JPY(100),946.56
2025-05-29,USD,1374.6
2025-05-30,AED,376.14
2025-05-30,CNH,191.88
2025-05-30,EUR,1571.14
2025-05-30,JPY(100),959.27
2025-05-30,USD,1381.4
2025-06-02,AED,374.58
2025-06-02,CNH,191.17
2025-06-02,EUR,1562.73
2025-06-02,JPY(100),956.78
2025-06-02,USD,1375.7
2025-06-04,AED,374.91
2025-06-04,CNH,190.9
2025-06-04,EUR,1566.29
2025-06-04,JPY(100),956.75
2025-06-04,USD,1376.9
2025-06-05,AED,374.07
2025-06-05,CNH,190.98
2025-06-05,EUR,1569.09
2025-06-05,JPY(100),962.18
2025-06-05,USD,1373.8
2025-06-09,AED,370
2025-06-09,CNH,189.25
2025-06-09,EUR,1550.21
2025-06-09,JPY(100),939.48
2025-06-09,USD,1359
2025-06-10,AED,370.03
2025-06-10,CNH,188.84
2025-06-10,EUR,1552.07
2025-06-10,JPY(100),939.47
2025-06-10,USD,1358.9
2025-06-11,AED,370.28
2025-06-11,CNH,189.18
2025-06-11,EUR,1554.64
2025-06-11,JPY(100),938.35
2025-06-11,USD,1359.9
2025-06-12,AED,372.71
2025-06-12,CNH,190.62
2025-06-12,EUR,1575.08
2025-06-12,JPY(100),948.94
2025-06-12,USD,1368.8
2025-06-13,AED,371.1
2025-06-13,CNH,189.39
2025-06-13,EUR,1579.81
2025-06-13,JPY(100),950.22
2025-06-13,USD,1362.9
2025-06-16,AED,372.12
2025-06-16,CNH,190.88
2025-06-16,EUR,1576.81
2025-06-16,JPY(100),945.59
2025-06-16,USD,1366.8
2025-06-17,AED,371.29
2025-06-17,CNH,189.93
2025-06-17,EUR,1576.25
2025-06-17,JPY(100),942.66
2025-06-17,USD,1363.6
2025-06-18,AED,370.77
2025-06-18,CNH,189.65
2025-06-18,EUR,1563.03
2025-06-18,JPY(100),936.87
2025-06-18,USD,1361.7
2025-06-19,AED,373.92
2025-06-19,CNH,190.85
2025-06-19,EUR,1576.3
2025-06-19,JPY(100),946.87
2025-06-19,USD,1373.2
2025-06-20,AED,375.66
2025-06-20,CNH,191.86
2025-06-20,EUR,1586.75
2025-06-20,JPY(100),948.6
2025-06-20,USD,1379.6
2025-06-23,AED,372.89
2025-06-23,CNH,190.76
2025-06-23,EUR,1573.17
2025-06-23,JPY(100),935.54
2025-06-23,USD,1369.4
2025-06-24,AED,376.28
2025-06-24,CNH,192.32
2025-06-24,EUR,1602.66
2025-06-24,JPY(100),947.16
2025-06-24,USD,1381.9
2025-06-25,AED,371.68
2025-06-25,CNH,190.31
2025-06-25,EUR,1584.77
2025-06-25,JPY(100),941.9
2025-06-25,USD,1365
2025-06-26,AED,370.57
2025-06-26,CNH,190.07
2025-06-26,EUR,1588.17
2025-06-26,JPY(100),938.2
2025-06-26,USD,1360.9
2025-06-27,AED,369.66
2025-06-27,CNH,189.56
2025-06-27,EUR,1587.1
2025-06-27,JPY(100),939.26
2025-06-27,USD,1357.6
2025-06-30,AED,369.33
2025-06-30,CNH,189.16
2025-06-30,EUR,1591.8
2025-06-30,JPY(100),938.98
2025-06-30,USD,1356.4
2025-07-01,AED,368.57
2025-07-01,CNH,189.23
2025-07-01,EUR,1595.42
2025-07-01,JPY(100),940.65
2025-07-01,USD,1353.6
2025-07-02,AED,368.29
2025-07-02,CNH,189.02
2025-07-02,EUR,1596.34
